trigram;score
sellmycalls;-4
sellallcalls;-4
sellingmycalls;-4
soldmycalls;-4
notfuckingbuy;-3
notfuckingbuying;-3
whatishappening;-2.5
wtfishappening;-2.5
inthelong;0
inthemoney;0
buyhighselllow;2.5
notfuckingleaving;2.5
onceinlifetime;2.5
onceinlife;2.5
allyourmoney;3
notfuckingselling;3
notfuckingsell;3
putmymoney;3
puttingmymoney;3
putmycash;3
allmymoney;4
pumpanddump;4
pumpanddumps;4
pumpsanddumps;4
pumpinganddumping;4
sellmyputs;4
sellingmyputs;4
soldmyputs;4
iamin;2.5